"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30027376.1",2.57479832888174e-38,0.754641920863438,0.318,0.151,7.12292209701844e-34,"Secretory","SMED30027376"
"SMED30001344.3",2.59353316783019e-38,0.572573048941001,0.79,0.689,7.17475015548544e-34,"Secretory","SMED30001344"
"SMED30012402.3",2.62816035816571e-38,0.803551445502774,0.536,0.363,7.27054281482963e-34,"Secretory","SMED30012402"
"SMED30004136.7",2.96275283577465e-38,-0.619340790932125,0.058,0.267,8.19615944488698e-34,"Secretory","SMED30004136"
"SMED30025313.5",5.06102398465444e-38,-0.676316151305248,0.084,0.302,1.40008167511481e-33,"Secretory","SMED30025313"
"SMED30032531.1",5.21693727515209e-38,0.858629541832964,0.127,0.033,1.44321352779807e-33,"Secretory","SMED30032531"
"SMED30019103.2",5.23861435143976e-38,0.269335821952702,0.178,0.055,1.4492102741823e-33,"Secretory","SMED30019103"
"SMED30001195.2",5.33808350581375e-38,0.722935667844008,0.352,0.185,1.47672742104832e-33,"Secretory","SMED30001195"
"SMED30022992.7",5.60071602622027e-38,-0.901756592704681,0.572,0.734,1.54938208149357e-33,"Secretory","SMED30022992"
"SMED30023821.7",5.88089878921009e-38,-0.6804458905433,0.059,0.265,1.62689184104708e-33,"Secretory","SMED30023821"
"SMED30019120.4",7.43054173263538e-38,0.744466509125749,0.379,0.205,2.05558506491625e-33,"Secretory","SMED30019120"
"SMED30002663.5",9.97189449726559e-38,-1.11934022953141,0.32,0.555,2.75862489372355e-33,"Secretory","SMED30002663"
"SMED30018507.6",2.02541366462262e-37,-1.09910526996357,0.23,0.458,5.60310436181202e-33,"Secretory","SMED30018507"
"SMED30027307.1",2.40395736802967e-37,6.85700857000189,0.29,0.139,6.65030766291727e-33,"Secretory","SMED30027307"
"SMED30033600.7",2.89729531094294e-37,-0.716726149529237,0.07,0.28,8.01507774819255e-33,"Secretory","SMED30033600"
"SMED30004348.5",4.01738001092415e-37,-0.80668032407158,0.175,0.409,1.11136800622206e-32,"Secretory","SMED30004348"
"SMED30029960.6",6.07828313738026e-37,0.733171766523637,0.294,0.133,1.68149624712488e-32,"Secretory","SMED30029960"
"SMED30017265.1",7.60418992288208e-37,0.366364246148984,0.124,0.031,2.1036231002661e-32,"Secretory","SMED30017265"
"SMED30021461.4",9.78265390647111e-37,-0.735292458216278,0.237,0.485,2.70627337668617e-32,"Secretory","SMED30021461"
"SMED30023708.6",1.59825007138074e-36,-0.991638896084368,0.041,0.233,4.42139899746768e-32,"Secretory","SMED30023708"
"SMED30012307.1",2.7419350022101e-36,0.693838048323574,0.152,0.046,7.58528899011402e-32,"Secretory","SMED30012307"
"SMED30024999.1",8.48735922693286e-36,0.420293630360863,0.167,0.053,2.34794305653871e-31,"Secretory","SMED30024999"
"SMED30021178.4",8.56043959577378e-36,0.600445039470635,0.302,0.142,2.36816000977486e-31,"Secretory","SMED30021178"
"SMED30016080.4",1.06739637977762e-35,-1.10126754305185,0.18,0.401,2.95284534501681e-31,"Secretory","SMED30016080"
"SMED30007704.7",1.10839344721429e-35,-4.28955347003146,0.207,0.402,3.06625963237362e-31,"Secretory","SMED30007704"
"SMED30013083.6",1.25074456879433e-35,0.539005272209243,0.271,0.114,3.46005977511263e-31,"Secretory","SMED30013083"
"SMED30020070.6",2.90801701084218e-35,-0.489776852396693,0.886,0.917,8.04473825879381e-31,"Secretory","SMED30020070"
"SMED30002697",5.4833583916949e-35,3.07703632095114,0.122,0.034,1.51691626547848e-30,"Secretory","SMED30002697"
"SMED30020821.5",9.43656539335636e-35,-0.810159589157057,0.138,0.357,2.6105314504181e-30,"Secretory","SMED30020821"
"SMED30024279.2",9.46153921078424e-35,0.334258375287048,0.106,0.025,2.61744020727135e-30,"Secretory","SMED30024279"
"SMED30009032.7",1.04722353222049e-34,-0.627855348880647,0.101,0.313,2.89703917953475e-30,"Secretory","SMED30009032"
"SMED30010415.7",1.24696664084083e-34,-1.18661573373699,0.039,0.225,3.44960851522206e-30,"Secretory","SMED30010415"
"SMED30013319.4",1.86011039714284e-34,-0.701690311419258,0.019,0.191,5.14580940265595e-30,"Secretory","SMED30013319"
"SMED30004593.7",2.20735152695872e-34,-0.570936875820498,0.058,0.255,6.1064172641786e-30,"Secretory","SMED30004593"
"SMED30015780.3",2.77632872424436e-34,0.927980645804805,0.405,0.255,7.68043578274959e-30,"Secretory","SMED30015780"
"SMED30029727.7",4.05072212646175e-34,-1.0770763684036,0.014,0.183,1.12059176906438e-29,"Secretory","SMED30029727"
"SMED30006263.6",6.49230100617835e-34,-1.33784975326432,0.136,0.349,1.79603015034918e-29,"Secretory","SMED30006263"
"SMED30024224",1.03755301019864e-33,0.435033984627863,0.151,0.048,2.87028664741351e-29,"Secretory","SMED30024224"
"SMED30015227.5",1.14666558918655e-33,-0.569616259334205,0.046,0.232,3.17213568592568e-29,"Secretory","SMED30015227"
"SMED30019011.7",1.38114719472451e-33,-0.653492272575965,0.089,0.291,3.82080559948589e-29,"Secretory","SMED30019011"
