"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30026886.1",2.31774733779598e-17,0.360456033372039,0.483,0.372,6.41181623527879e-13,"AP-3","SMED30026886"
"SMED30002960",2.40566994990244e-17,0.272826491664571,0.454,0.333,6.65504534941012e-13,"AP-3","SMED30002960"
"SMED30033192",3.17797343573301e-17,0.257656594121846,0.446,0.328,8.79154571261181e-13,"AP-3","SMED30033192"
"SMED30017388",3.59262524562429e-17,-0.361628753406825,0.703,0.802,9.93863847949503e-13,"AP-3","SMED30017388"
"SMED30020400",4.04767712167717e-17,0.290510224301929,0.481,0.366,1.11974939894077e-12,"AP-3","SMED30020400"
"SMED30008162",4.15197511738866e-17,0.319842731905427,0.48,0.364,1.1486023964744e-12,"AP-3","SMED30008162"
"SMED30014339",4.26546856431487e-17,0.250956958841688,0.453,0.335,1.17999922363206e-12,"AP-3","SMED30014339"
"SMED30006648",4.3531792972844e-17,0.293044308788413,0.441,0.332,1.20426352080076e-12,"AP-3","SMED30006648"
"SMED30006507.1",5.09494380102209e-17,0.3847221722124,0.479,0.369,1.40946525311475e-12,"AP-3","SMED30006507"
"SMED30003582.1",5.88588255348109e-17,0.296348775721547,0.477,0.362,1.62827054959501e-12,"AP-3","SMED30003582"
"SMED30005907.1",6.23708715746057e-17,0.312410892747329,0.495,0.384,1.72542779123989e-12,"AP-3","SMED30005907"
"SMED30014371",6.55618178796837e-17,-0.315288606826613,0.647,0.717,1.81370212982357e-12,"AP-3","SMED30014371"
"SMED30021922",6.78786044455648e-17,-0.292537262535357,0.093,0.195,1.87779371338211e-12,"AP-3","SMED30021922"
"SMED30010994",7.8457919489126e-17,0.278382619594715,0.461,0.347,2.17045988474718e-12,"AP-3","SMED30010994"
"SMED30000951",8.59441646434333e-17,0.459839815713726,0.497,0.393,2.37755937069594e-12,"AP-3","SMED30000951"
"SMED30006514",1.0292102309599e-16,0.322108963295777,0.432,0.317,2.84720718292747e-12,"AP-3","SMED30006514"
"SMED30028802",1.5386739849147e-16,0.263467690643722,0.403,0.291,4.25658771186804e-12,"AP-3","SMED30028802"
